id,different?,expected result,actual result,result_message different?,expected result_message (normalized),actual result_message (normalized),messages different?,expected messages (normalized),actual messages (normalized)
g10_certification-Group06-g10_token_introspection-smart_token_introspection_access_token_group-smart_discovery_stu2,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_token_introspection-smart_token_introspection_access_token_group-smart_standalone_launch_stu2-smart_code_received,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_token_introspection-smart_token_introspection_access_token_group-smart_standalone_launch_stu2-smart_token_exchange,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_token_introspection-smart_token_introspection_access_token_group-smart_standalone_launch_stu2,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_token_introspection-smart_token_introspection_access_token_group,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_token_introspection-smart_token_introspection_response_group,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_asymmetric_launch-smart_standalone_launch_stu2-standalone_auth_tls,true,pass,,false,,,false,"! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization accepted TLS 1.2 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization accepted TLS 1.3 connection.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied SSL 2.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied SSL 3.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied TLS 1.0 connection as required.""
! (info) ""<REFERENCE_SERVER_URL>/oauth/authorization correctly denied TLS 1.1 connection as required.""",""
g10_certification-Group06-g10_token_revocation-Test01,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_asymmetric_launch-smart_standalone_launch_stu2-g10_patient_context,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_asymmetric_launch-smart_standalone_launch_stu2-g10_asymmetric_launch_id_token,true,pass,,false,,,false,"",""
g10_certification-Group06-g10_asymmetric_launch-smart_standalone_launch_stu2,true,pass,,false,,,false,"",""
